nome_arquivo,temperatura,motor_position,feed_rate,flow_rate
imagens_stream/image_2024-03-08_19-34-11-138.jpg,T:199.95 /200.00 B:50.00 /50.00 @:56 B@:14,,echo:E0 Flow: 100%,FR:100%
imagens_stream/image_2024-03-08_19-34-11-643.jpg,T:199.95 /200.00 B:50.00 /50.00 @:56 B@:14,,echo:E0 Flow: 100%,FR:100%
imagens_stream/image_2024-03-08_19-34-12-181.jpg,T:200.00 /200.00 B:50.01 /50.00 @:55 B@:13,,echo:E0 Flow: 100%,FR:100%
imagens_stream/image_2024-03-08_19-34-12-683.jpg,T:200.00 /200.00 B:50.01 /50.00 @:55 B@:13,,echo:E0 Flow: 100%,FR:100%
imagens_stream/image_2024-03-08_19-34-13-222.jpg,T:200.00 /200.00 B:50.00 /50.00 @:55 B@:14,,echo:E0 Flow: 100%,FR:100%
imagens_stream/image_2024-03-08_19-34-13-723.jpg,T:200.00 /200.00 B:50.00 /50.00 @:55 B@:14,,echo:E0 Flow: 100%,FR:100%
imagens_stream/image_2024-03-08_19-34-14-225.jpg,T:200.00 /200.00 B:50.01 /50.00 @:55 B@:12,,echo:E0 Flow: 100%,FR:100%
imagens_stream/image_2024-03-08_19-34-14-762.jpg,T:200.00 /200.00 B:50.01 /50.00 @:55 B@:12,,echo:E0 Flow: 100%,FR:100%
imagens_stream/image_2024-03-08_19-34-15-304.jpg,T:200.01 /200.00 B:50.00 /50.00 @:55 B@:13,,echo:E0 Flow: 100%,FR:100%
imagens_stream/image_2024-03-08_19-34-15-804.jpg,T:200.01 /200.00 B:50.00 /50.00 @:55 B@:13,,echo:E0 Flow: 100%,FR:100%
imagens_stream/image_2024-03-08_19-34-16-344.jpg,T:200.00 /200.00 B:50.00 /50.00 @:55 B@:13,,echo:E0 Flow: 100%,FR:100%
imagens_stream/image_2024-03-08_19-34-16-888.jpg,T:200.00 /200.00 B:50.00 /50.00 @:55 B@:13,,echo:E0 Flow: 100%,FR:100%
imagens_stream/image_2024-03-08_19-34-17-429.jpg,T:200.01 /200.00 B:50.00 /50.00 @:55 B@:13,,echo:E0 Flow: 100%,FR:100%
imagens_stream/image_2024-03-08_19-34-17-970.jpg,T:200.01 /200.00 B:50.00 /50.00 @:55 B@:13,,echo:E0 Flow: 100%,FR:100%
imagens_stream/image_2024-03-08_19-34-18-511.jpg,T:200.00 /200.00 B:49.99 /50.00 @:55 B@:15,,echo:E0 Flow: 100%,FR:100%
imagens_stream/image_2024-03-08_19-34-19-011.jpg,T:199.98 /200.00 B:49.98 /50.00 @:56 B@:15,,echo:E0 Flow: 100%,FR:100%
imagens_stream/image_2024-03-08_19-34-19-552.jpg,T:199.98 /200.00 B:49.98 /50.00 @:56 B@:15,,echo:E0 Flow: 100%,FR:100%
imagens_stream/image_2024-03-08_19-34-20-093.jpg,T:199.98 /200.00 B:50.00 /50.00 @:56 B@:13,,echo:E0 Flow: 100%,FR:100%
imagens_stream/image_2024-03-08_19-34-20-594.jpg,T:199.98 /200.00 B:50.00 /50.00 @:56 B@:13,,echo:E0 Flow: 100%,FR:100%
imagens_stream/image_2024-03-08_19-34-21-094.jpg,T:199.95 /200.00 B:49.99 /50.00 @:56 B@:14,,echo:E0 Flow: 100%,FR:100%
imagens_stream/image_2024-03-08_19-34-21-594.jpg,T:199.95 /200.00 B:49.99 /50.00 @:56 B@:14,,echo:E0 Flow: 100%,FR:100%
imagens_stream/image_2024-03-08_19-34-22-095.jpg,T:199.91 /200.00 B:49.99 /50.00 @:56 B@:14,,echo:E0 Flow: 100%,FR:100%
imagens_stream/image_2024-03-08_19-34-22-606.jpg,T:199.91 /200.00 B:49.99 /50.00 @:56 B@:14,,echo:E0 Flow: 100%,FR:100%
imagens_stream/image_2024-03-08_19-34-23-107.jpg,T:199.89 /200.00 B:49.98 /50.00 @:56 B@:15,,echo:E0 Flow: 100%,FR:100%
imagens_stream/image_2024-03-08_19-34-23-636.jpg,T:199.89 /200.00 B:49.98 /50.00 @:56 B@:15,,echo:E0 Flow: 100%,FR:100%
imagens_stream/image_2024-03-08_19-34-24-175.jpg,T:199.89 /200.00 B:49.98 /50.00 @:56 B@:15,,echo:E0 Flow: 100%,FR:100%
imagens_stream/image_2024-03-08_19-34-24-676.jpg,T:199.89 /200.00 B:49.98 /50.00 @:56 B@:15,,echo:E0 Flow: 100%,FR:100%
imagens_stream/image_2024-03-08_19-34-25-218.jpg,T:199.88 /200.00 B:49.97 /50.00 @:56 B@:17,,echo:E0 Flow: 100%,FR:100%
imagens_stream/image_2024-03-08_19-34-25-758.jpg,T:199.88 /200.00 B:49.97 /50.00 @:56 B@:17,,echo:E0 Flow: 100%,FR:100%
imagens_stream/image_2024-03-08_19-34-26-259.jpg,T:199.89 /200.00 B:49.98 /50.00 @:56 B@:15,,echo:E0 Flow: 100%,FR:100%
imagens_stream/image_2024-03-08_19-34-26-800.jpg,T:199.89 /200.00 B:49.98 /50.00 @:56 B@:15,,echo:E0 Flow: 100%,FR:100%
imagens_stream/image_2024-03-08_19-34-27-301.jpg,T:199.85 /200.00 B:50.00 /50.00 @:57 B@:13,,echo:E0 Flow: 100%,FR:100%
imagens_stream/image_2024-03-08_19-34-27-804.jpg,T:199.85 /200.00 B:50.00 /50.00 @:57 B@:13,,echo:E0 Flow: 100%,FR:100%
imagens_stream/image_2024-03-08_19-34-28-341.jpg,T:199.87 /200.00 B:49.98 /50.00 @:56 B@:16,,echo:E0 Flow: 100%,FR:100%
imagens_stream/image_2024-03-08_19-34-28-888.jpg,T:199.87 /200.00 B:49.98 /50.00 @:56 B@:16,,echo:E0 Flow: 100%,FR:100%
